14 | 15	10	512	32	16	12	3	12	8808850	11584384	1042609	1287300	19,6984	0,985323	-0,881077	-18,8173	18,9235	0,984312	19,5302	0,982244	0,686663	0,471506	26,0694
14 | 15	10	1024	32	32	12	3	12	8808850	11584384	1042609	2565854	19,4023	0,970514	-1,75751	-17,6448	18,6196	0,968507	19,174	0,964328	0,710972	0,505481	45,167
14 | 15	10	2048	64	32	12	3	12	8808850	11584384	1042609	5122357	18,7906	0,939918	-3,51002	-15,2806	17,9931	0,935921	18,4416	0,927495	0,757131	0,573248	46,1021
14 | 15	15	64	16	4	12	3	12	8808845	11584379	18827539	168990	24,0925	0,996944	-0,114504	-23,978	22,8005	0,996926	23,3134	0,996765	1,01761	1,03554	8,80961
14 | 15	15	128	16	8	12	3	12	8808845	11584379	18827539	332060	24,0222	0,994036	-0,226077	-23,7961	22,7326	0,99396	23,2415	0,99369	1,01742	1,03515	11,8927
14 | 15	15	256	16	16	12	3	12	8808845	11584379	18827539	658155	23,8814	0,988209	-0,449195	-23,4322	22,5967	0,988017	23,0974	0,987526	1,01704	1,03436	25,1868
79 | 14	10	512	32	16	12	3	12	6886923	8808850	836196	983604	19,4026	0,986232	-0,87533	-18,5273	19,2118	0,983229	18,9235	0,984312	0,578794	0,335002	20,8483
79 | 14	10	1024	32	32	12	3	12	6886923	8808850	836196	1959054	19,1287	0,97231	-1,74398	-17,3847	18,8823	0,966368	18,6196	0,968507	0,61462	0,377758	36,5159
79 | 14	10	2048	64	32	12	3	12	6886923	8808850	836196	3909367	18,5613	0,943466	-3,48021	-15,081	18,2042	0,931664	17,9931	0,935921	0,680136	0,462585	43,937
79 | 14	15	64	16	4	12	3	12	6886918	8808845	13460471	130878	23,6118	0,997025	-0,115046	-23,4967	22,5275	0,996869	22,8005	0,996926	0,973541	0,947781	9,81207
79 | 14	15	128	16	8	12	3	12	6886918	8808845	13460471	256444	23,5453	0,99422	-0,226685	-23,3187	22,4618	0,993963	22,7326	0,99396	0,973715	0,948121	11,8314
79 | 14	15	256	16	16	12	3	12	6886918	8808845	13460471	507533	23,4122	0,9886	-0,449931	-22,9623	22,3302	0,988136	22,5967	0,988017	0,974065	0,948802	25,2558
35 | 15	10	512	32	16	12	3	12	7451298	11584384	1044449	1207613	19,698	0,98518	-0,884217	-18,8138	19,3182	0,98311	19,5302	0,982244	0,523237	0,273777	23,8087
35 | 15	10	1024	32	32	12	3	12	7451298	11584384	1044449	2410813	19,3973	0,970142	-1,76585	-17,6315	18,9805	0,965926	19,174	0,964328	0,565732	0,320053	43,1881
35 | 15	10	2048	64	32	12	3	12	7451298	11584384	1044449	4816476	18,7758	0,939057	-3,52826	-15,2475	18,2857	0,930567	18,4416	0,927495	0,64197	0,412125	42,906
35 | 15	15	64	16	4	12	3	12	7451293	11584379	17735202	156117	24,0081	0,997009	-0,113691	-23,8944	22,6533	0,997067	23,3134	0,996765	1,01229	1,02473	8,67719
35 | 15	15	128	16	8	12	3	12	7451293	11584379	17735202	308373	23,9383	0,994112	-0,225126	-23,7132	22,5866	0,994131	23,2415	0,99369	1,01206	1,02427	10,9791
35 | 15	15	256	16	16	12	3	12	7451293	11584379	17735202	612883	23,7985	0,988304	-0,447993	-23,3505	22,4529	0,988248	23,0974	0,987526	1,01161	1,02335	22,6247
14 | 69	10	512	32	16	12	3	12	8808850	7836298	846490	1036819	19,4203	0,986248	-0,869568	-18,5508	18,9235	0,984312	19,2277	0,983535	0,587172	0,34477	20,8153
14 | 69	10	1024	32	32	12	3	12	8808850	7836298	846490	2065966	19,1473	0,972383	-1,73429	-17,413	18,6196	0,968507	18,9027	0,96691	0,621444	0,386192	37,7666
14 | 69	10	2048	64	32	12	3	12	8808850	7836298	846490	4123230	18,5815	0,94365	-3,46188	-15,1197	17,9931	0,935921	18,2343	0,932722	0,683982	0,467831	44,0595
14 | 69	15	64	16	4	12	3	12	8808845	7836293	13615237	135277	23,631	0,997141	-0,113181	-23,5178	22,8005	0,996926	22,6257	0,997075	0,958072	0,917901	7,33843
14 | 69	15	128	16	8	12	3	12	8808845	7836293	13615237	268459	23,5645	0,994335	-0,224904	-23,3396	22,7326	0,99396	22,5592	0,994147	0,95841	0,91855	9,46759
14 | 69	15	256	16	16	12	3	12	8808845	7836293	13615237	534780	23,4312	0,988712	-0,448317	-22,9829	22,5967	0,988017	22,426	0,988277	0,959088	0,919849	21,9116
GCF_0083.fna | GCF_0010.fna	10	1024	64	16	12	3	12	7407494	13434814	866721	2609308	19.1665	0.971674	-1.74341	-17.4231	18.8403	0.966526	18.807	0.967221	0.585505	0.342816	27.7266
